id	echaAlta	codigo	denominacion	precio	publicado

1	04/07/2019 18:12:19	100	CARNICERIA	0,69	N
2	04/07/2019 18:12:19	200	FIAMBRERIA	0,55	N
3	04/07/2019 18:12:19	300	PANADERIA	0,64	N
4	04/07/2019 18:12:19	400	VERDULERIA	0	N
5	04/07/2019 18:12:19	900	VARIOS	0,59	N
6	04/07/2019 18:12:19	7792798012923	CERVEZA 473CC QUILMES RUBIA	30,5	Y
7	04/07/2019 18:12:19	7793147001827	CERVEZA 473CC MILLER RUBIA	37,74	N
8	04/07/2019 18:12:19	7792798002207	CERVEZA 473CC QUILMES BOCK	30,5	N
9	04/07/2019 18:12:19	7793147118860	CERVEZA 473CC SCHNEIDER RUBIA	28,93	N
10	04/07/2019 18:12:19	7793147571085	CERVEZA 473CC SCHNEIDER NEGRA	28,93	N
11	04/07/2019 18:12:20	7793147571078	CERVEZA 473CC SCHNEIDER ROJA	28,93	N
12	04/07/2019 18:12:20	7793147009182	CERVEZA 354CC HEINEKEN RUBIA	44,38	N
13	04/07/2019 18:12:20	75032715	CERVEZA 355CC CORONA RUBIA	42,4	N
14	04/07/2019 18:12:20	7793147001025	CERVEZA 1L SCHNEIDER RUBIA	52,23	N
15	04/07/2019 18:12:20	7793147000899	CERVEZA 1L HEINEKEN RUBIA	76,86	N
16	04/07/2019 18:12:20	7793147571177	CERVEZA 1L IMPERIAL APA	79,34	N
17	04/07/2019 18:12:20	7792798003365	CERVEZA 473CC PATAGONIA IPA FERNANDEZ	56,8	N
18	04/07/2019 18:12:20	7792798002528	CERVEZA 473CC PATAGONIA WEISSE	56,8	Y
19	04/07/2019 18:12:20	7792798001965	CERVEZA 473CC PATAGONIA AMBER LAGER	47,97	Y
20	04/07/2019 18:12:20	7501064106859	CERVEZA 710CC CORONA RUBIA	81,405	N
21	04/07/2019 18:12:20	7798123860412	CERVEZA 500CC OTRO MUNDO BEASTIE ALE	67,84	N
22	04/07/2019 18:12:20	7792798002122	CERVEZA 1L ANDES ORIGEN ROJA	73,89	N
23	04/07/2019 18:12:20	7792798007844	CERVEZA 975CC STELLA ARTOIS NOIRE	84,39	N
24	04/07/2019 18:12:20	7792798007431	CERVEZA 970CC QUILMES LIEBER	56,66	N
25	04/07/2019 18:12:20	7798162670270	CERVEZA 1L BLACK FISH	117,0798	N
26	04/07/2019 18:12:20	7792798002351	CERVEZA 730CC PATAGONIA AMBER LAGER	94,55	Y
27	04/07/2019 18:12:20	7792798002399	CERVEZA 730CC PATAGONIA IPA KM 24.1	94,55	Y
28	04/07/2019 18:12:20	7792798007172	CERVEZA 740CC PATAGONIA WEISSE	76,79	N
29	04/07/2019 18:12:20	7792798000418	CERVEZA 710CC PATAGONIA KUNE	76,79	Y
30	04/07/2019 18:12:20	7792798002115	CERVEZA 1L ANDES ORIGEN RUBIA	62,83	N
31	04/07/2019 18:12:20	7792798002139	CERVEZA 1L ANDES ORIGEN NEGRA	73,89	N
32	04/07/2019 18:12:20	7792798002757	CERVEZA 1L ANDES ORIGEN IPA	73,89	N
33	04/07/2019 18:12:20	7792798006199	CERVEZA 975CC STELLA ARTOIS RUBIA	76,13	N
34	04/07/2019 18:12:20	7792799040512	CERVEZA 970CC ANDES RUBIA	50,48	N
35	04/07/2019 18:12:20	7792798011919	CERVEZA 970CC QUILMES RUBIA	56,66	N
36	04/07/2019 18:12:20	7791813050360	GASEOSA 354CC PASO DE LOS TOROS TONICA	15,35	N
37	04/07/2019 18:12:20	7791813050520	GASEOSA 354CC 7UP LIMA LIMON	15,35	N
38	04/07/2019 18:12:20	7791813000310	GASEOSA 354CC MIRINDA NARANJA	15,35	N
39	04/07/2019 18:12:20	7792798007400	CERVEZA 970CC QUILMES STOUT	56,66	N
40	04/07/2019 18:12:21	7792170042012	ISOTONICO 500CC GATORADE NARANJA	38,68	N
41	04/07/2019 18:12:21	7792170042258	ISOTONICO 500CC GATORADE COOL BLUE	38,68	N
42	04/07/2019 18:12:21	7792170110568	ISOTONICO 1.25L GATORADE FRUTOS TROPICALES	61,83	N
43	04/07/2019 18:12:21	7792170110704	ISOTONICO 1.25L GATORADE COOL BLUE	61,83	N
44	04/07/2019 18:12:21	7792170110551	ISOTONICO 1.25L GATORADE NARANJA	61,83	N
45	04/07/2019 18:12:21	7792170042029	ISOTONICO 500CC GATORADE FRUTOS TROPICALES	38,68	N
46	04/07/2019 18:12:21	7791813111115	GASEOSA 2.25L PEPSI COLA RETORNABLE	55,11	N
47	04/07/2019 18:12:21	7791813423119	GASEOSA 2.25L PEPSI COLA	74,4	N
48	04/07/2019 18:12:21	7791813333050	GASEOSA 2.25L MIRINDA NARANJA	74,4	N
49	04/07/2019 18:12:21	7791813421603	GASEOSA 1.5L H2OH CITRUS	64,83	N
50	04/07/2019 18:12:21	7791813555049	GASEOSA 1.5L PEPSI COLA	64,83	N
51	04/07/2019 18:12:21	7791813421368	GASEOSA 1.5L PASO DE LOS TOROS TONICA	64,83	N
52	04/07/2019 18:12:21	7791813421528	GASEOSA 1.5L 7UP LIMA LIMON	60,17	N
53	04/07/2019 18:12:21	7791813423591	GASEOSA 2.25L H2OH CITRUS	86,09	N
54	04/07/2019 18:12:21	7791813423911	GASEOSA 2.25L H2OH LIMONETO	86,09	N
55	04/07/2019 18:12:21	7791813423522	GASEOSA 2.25L 7UP LIMA LIMON	60,49	N
56	04/07/2019 18:12:21	7791813423386	GASEOSA 2.25L PASO DE LOS TOROS POMELO	78,77	N
57	04/07/2019 18:12:21	7791813555063	GASEOSA 3L PEPSI COLA	91,49	N
58	04/07/2019 18:12:21	7791813424017	GASEOSA 3L 7UP LIMA LIMON	82,44	N
59	04/07/2019 18:12:21	7790895005794	GASEOSA 2.5L COCA COLA ORIGINAL	89,95	Y
60	04/07/2019 18:12:21	7790895640841	GASEOSA 310CC COCA COLA SIN AZUCAR	22,8483	N
61	04/07/2019 18:12:21	7790895003202	GASEOSA 310CC SCHWEPPES AGUA TONICA	24,49	N
62	04/07/2019 18:12:21	7790895002755	GASEOSA 310CC SPRITE LIMA LIMON	24,49	N
63	04/07/2019 18:12:21	7790895002762	GASEOSA 310CC FANTA NARANJA	24,49	N
64	04/07/2019 18:12:21	7790895642104	GASEOSA 220CC COCA COLA SIN AZUCAR	17,1366	N
65	04/07/2019 18:12:21	7790895642494	GASEOSA 220CC SCHWEPPES POMELO	18,37	N
66	04/07/2019 18:12:21	7790895642449	GASEOSA 220CC FANTA SIN AZUCAR	18,37	N
67	04/07/2019 18:12:21	7790895010064	GASEOSA 500CC SCHWEPPES POMELO SIN AZUCAR	29,59	Y
68	04/07/2019 18:12:21	7790895000782	GASEOSA 500CC COCA COLA ORIGINAL	28,5575	Y
69	04/07/2019 18:12:22	7790895000829	GASEOSA 500CC SPRITE LIMA LIMON	29,59	Y
70	04/07/2019 18:12:22	7790895000430	GASEOSA 1.5L COCA COLA ORIGINAL	64,2533	Y
71	04/07/2019 18:12:22	7790895010088	GASEOSA 1.5L SCHWEPPES POMELO SIN AZUCAR	64,58	Y
72	04/07/2019 18:12:22	7790895064173	GASEOSA 1.5L SPRITE LIMA LIMON SIN AZUCAR	56,59	Y
73	04/07/2019 18:12:22	7790895000447	GASEOSA 1.5L SPRITE LIMA LIMON	66,58	Y
74	04/07/2019 18:12:22	7790895000454	GASEOSA 1.5L FANTA NARANJA	64,2533	Y
75	04/07/2019 18:12:22	7790895006715	GASEOSA 1.5L SCHWEPPES AGUA TONICA	64,58	Y
76	04/07/2019 18:12:22	7790895001451	GASEOSA 1.5L COCA COLA LIGHT	64,25	Y
77	04/07/2019 18:12:22	7790895064166	GASEOSA 2.25L SPRITE SIN AZUCAR	96,42	Y
78	04/07/2019 18:12:22	7790895006111	GASEOSA 1.25L SPRITE RETORNABLE	44,98	N
79	04/07/2019 18:12:22	7790895001017	GASEOSA 2.25L FANTA NARANJA	96,42	Y
80	04/07/2019 18:12:22	7790895002601	GASEOSA 2.25L FANTA SIN AZUCAR	96,42	Y
81	04/07/2019 18:12:22	7790895006128	GASEOSA 1.25L FANTA RETORNABLE	44,98	N
82	04/07/2019 18:12:22	7790895005374	GASEOSA 1.25L COCA COLA ORIGINAL RETORNABLE	44,98	N
83	04/07/2019 18:12:22	7790895000331	GASEOSA 2L FANTA RETORNABLE	61,98	N
84	04/07/2019 18:12:22	7790895067617	GASEOSA 2L COCA COLA ZERO RETORNABLE	57,8275	N
85	04/07/2019 18:12:22	7790895000218	GASEOSA 2L COCA COLA ORIGINAL RETORNABLE	61,98	N
86	04/07/2019 18:12:22	7790895068164	GASEOSA 2.5L COCA COLA ORIGINAL RETORNABLE	70,68	N
87	04/07/2019 18:12:22	7790895643835	JUGO 1L ADES MANZANA	49,59	Y
88	04/07/2019 18:12:22	7790895643866	JUGO 1L ADES FRUTAS TROPICALES	49,59	N
89	04/07/2019 18:12:22	7790895003882	AGUA MINERAL 2L BONAQUA SIN GAS	32,24	N
90	04/07/2019 18:12:22	7790895643811	JUGO 1L ADES COCO	66,12	N
91	04/07/2019 18:12:23	7790895643859	JUGO 1L ADES SOJA	66,12	N
92	04/07/2019 18:12:23	7790895640490	AGUA SABORIZADA 1.5L AQUARIUS POMELO	56,2	Y
93	04/07/2019 18:12:23	7790895640469	AGUA SABORIZADA 500CC AQUARIUS POMELO	30,61	Y
94	04/07/2019 18:12:23	7790895641213	AGUA SABORIZADA 500CC AQUARIUS NARANJA	30,61	Y
95	04/07/2019 18:12:23	7790895640445	AGUA SABORIZADA 500CC AQUARIUS PERA	30,61	Y
96	04/07/2019 18:12:23	7790895641183	ISOTONICO 500CC POWERADE FRUTOS TROPICALES	36,36	N
97	04/07/2019 18:12:23	7790895011177	ISOTONICO 500CC POWERADE MOUNTAIN BLAST ZERO	36,36	N
98	04/07/2019 18:12:23	7790895641541	JUGO 300CC CEPITA DURAZNO	24,49	N
99	04/07/2019 18:12:23	7790895641794	JUGO 300CC CEPITA NARANJA	24,49	N
100	04/07/2019 18:12:23	7790895000737	JUGO 200CC CEPITA MULTIFRUTA	18,37	N
101	04/07/2019 18:12:23	7790895002991	JUGO 200CC CEPITA DURAZNO MIX	18,37	N
102	04/07/2019 18:12:23	7790895000720	JUGO 200CC CEPITA MANZANA	18,37	N
103	04/07/2019 18:12:23	7790895641534	JUGO 1.5L CEPITA DURAZNO TENTACION	59,505	N
104	04/07/2019 18:12:23	7790895641749	JUGO 1.5L CEPITA ANANA TROPICAL	59,5	N
105	04/07/2019 18:12:23	7790315100160	AGUA SABORIZADA 500CC LEVITE MANGO NARANJA	30,61	N
106	04/07/2019 18:12:23	7790895003288	AGUA SABORIZADA 2.25L AQUARIUS POMELO	86,09	N
107	04/07/2019 18:12:23	7790895010705	AGUA SABORIZADA 2.25L AQUARIUS CERO CITRUS CON GAS	86,09	N
108	04/07/2019 18:12:23	7798062548655	AGUA SABORIZADA 500CC LEVITE NARANJA	30,61	N
